attendance,internal_marks,assignment_score,previous_gpa,study_hours,backlogs,class_participation,risk_level
75.2,65.3,61.9,4.78,0.9,0,44.4,MEDIUM
60.3,50.9,54.9,5.89,4.4,0,30.8,HIGH
81.9,76.7,40.6,8.79,4.2,0,57.1,MEDIUM
78.0,62.8,75.2,8.43,4.1,0,33.6,MEDIUM
66.0,72.6,46.5,7.36,6.1,1,35.2,MEDIUM
76.0,49.0,71.4,4.7,4.7,1,45.0,MEDIUM
69.2,57.1,66.0,6.71,7.0,1,46.6,MEDIUM
76.7,78.0,80.2,7.45,2.0,0,45.9,MEDIUM
84.9,58.3,65.5,7.26,4.3,0,75.4,MEDIUM
98.8,96.1,65.1,4.23,4.2,0,54.9,LOW
56.4,57.8,81.0,5.66,1.9,1,61.4,HIGH
100.0,69.0,75.0,6.9,5.9,0,82.9,MEDIUM
45.7,81.8,74.7,7.8,8.6,1,49.7,MEDIUM
72.7,39.5,77.0,3.71,4.0,0,59.7,MEDIUM
83.8,33.3,47.0,6.76,5.0,1,72.3,HIGH
79.2,37.5,81.4,7.21,4.2,0,26.2,MEDIUM
65.7,87.7,79.2,8.27,2.6,3,17.3,MEDIUM
71.9,55.1,54.7,8.04,0.4,1,71.9,MEDIUM
67.6,100.0,66.3,7.87,2.6,2,74.8,MEDIUM
66.2,54.8,69.4,5.8,1.2,0,100.0,MEDIUM
87.7,68.3,68.0,4.14,7.4,0,68.2,MEDIUM
80.4,92.8,75.0,6.41,3.8,1,81.4,MEDIUM
64.6,100.0,91.5,8.5,3.3,2,61.1,MEDIUM
88.5,100.0,86.2,9.09,5.8,2,70.9,MEDIUM
79.6,86.8,50.3,8.07,1.8,0,98.3,MEDIUM
87.2,83.4,79.3,7.64,2.5,1,22.5,MEDIUM
84.4,75.7,89.9,7.57,4.1,0,73.3,LOW
62.6,79.0,75.8,6.17,6.1,2,100.0,MEDIUM
66.6,55.1,86.4,6.8,5.0,0,70.6,MEDIUM
86.2,50.3,100.0,9.5,4.5,1,98.0,MEDIUM
84.2,64.9,85.4,5.59,4.2,4,52.4,HIGH
74.7,61.9,73.7,9.42,4.8,3,64.4,MEDIUM
76.8,56.8,85.7,6.52,4.4,4,65.7,HIGH
94.2,77.5,72.2,8.99,1.9,4,20.6,HIGH
66.1,82.2,70.4,4.89,4.1,1,41.6,MEDIUM
83.2,66.6,64.7,7.88,1.9,3,43.1,HIGH
72.0,91.6,93.5,5.89,4.2,0,81.4,LOW
71.7,44.4,57.7,4.88,3.0,1,82.4,HIGH
91.5,61.5,93.0,7.33,9.1,1,71.5,LOW
87.4,52.1,77.5,8.51,3.9,0,81.5,MEDIUM
87.2,31.4,49.0,5.73,1.2,3,61.7,HIGH
94.6,63.5,75.5,4.75,3.7,0,89.0,MEDIUM
75.3,62.8,38.5,6.86,5.0,0,65.2,MEDIUM
85.2,92.2,79.4,6.87,7.3,4,66.2,MEDIUM
70.3,76.4,83.3,7.82,2.8,2,59.7,MEDIUM
79.9,46.6,61.1,8.42,0.8,3,,HIGH
73.0,98.4,71.9,6.91,5.6,0,56.6,MEDIUM
76.5,87.0,99.3,9.78,1.2,0,84.5,LOW
83.9,75.5,62.4,7.34,3.1,1,42.4,MEDIUM
62.7,60.9,54.1,6.48,3.5,3,43.0,HIGH
100.0,47.7,92.2,4.58,3.9,3,78.7,MEDIUM
59.9,58.3,99.4,6.61,5.4,2,63.2,MEDIUM
56.8,84.6,70.1,6.5,2.6,2,55.9,HIGH
92.4,98.9,85.2,8.44,3.5,1,82.8,LOW
86.9,92.8,90.1,7.69,4.0,2,52.9,MEDIUM
84.4,56.2,58.9,5.23,4.3,0,61.0,MEDIUM
84.4,44.8,62.7,7.26,4.2,1,93.0,MEDIUM
74.8,67.5,88.5,8.01,4.9,4,,MEDIUM
61.5,33.2,95.3,9.29,5.7,1,96.4,MEDIUM
76.1,70.8,78.4,8.33,4.8,0,59.4,LOW
64.8,62.3,56.8,8.14,4.9,0,89.6,MEDIUM
89.6,56.6,99.8,7.09,0.8,3,46.0,MEDIUM
72.8,36.3,62.0,7.58,4.1,0,46.9,MEDIUM
62.6,74.2,65.0,8.87,5.0,0,18.0,MEDIUM
70.2,55.4,75.1,5.0,5.5,1,98.5,MEDIUM
81.2,43.9,93.3,6.48,2.6,3,47.7,HIGH
66.5,13.3,82.8,5.84,2.7,2,62.5,HIGH
62.7,64.5,76.2,7.57,2.9,0,46.8,MEDIUM
78.7,96.9,76.9,8.85,5.1,1,78.9,LOW
78.7,94.9,70.7,6.1,6.1,1,57.5,MEDIUM
67.4,56.8,78.4,3.41,3.2,0,38.9,MEDIUM
67.9,54.2,32.1,6.38,5.8,0,73.8,MEDIUM
78.5,73.4,65.6,8.37,4.2,2,36.3,MEDIUM
53.3,47.0,73.6,7.81,3.8,4,48.3,HIGH
53.9,70.4,52.7,7.64,3.6,1,22.9,HIGH
64.2,78.8,75.8,6.58,5.5,0,36.5,MEDIUM
71.8,87.1,66.9,5.08,4.7,1,68.6,MEDIUM
79.7,63.2,96.3,7.77,8.6,1,25.7,MEDIUM
97.1,61.3,93.6,5.75,2.3,3,35.4,HIGH
87.9,49.2,63.0,10.0,5.0,4,65.0,MEDIUM
72.6,50.1,67.7,7.86,2.9,3,54.1,HIGH
74.7,60.9,68.9,6.13,2.3,2,100.0,HIGH
60.0,71.6,63.2,6.08,4.0,3,100.0,HIGH
74.7,81.4,72.9,6.86,4.3,0,47.6,MEDIUM
70.7,50.5,58.6,6.64,9.8,2,76.1,HIGH
79.8,91.9,53.0,8.68,3.6,2,80.0,MEDIUM
62.6,60.1,79.3,7.28,1.7,1,53.1,MEDIUM
82.8,64.6,79.4,5.9,4.5,1,35.1,MEDIUM
98.0,51.6,57.9,9.84,0.0,1,64.8,MEDIUM
73.4,21.4,83.4,7.07,3.8,0,61.5,MEDIUM
81.0,80.9,60.5,8.15,4.0,0,56.3,MEDIUM
85.4,78.3,73.8,6.09,5.6,0,73.8,MEDIUM
69.0,59.9,82.3,7.54,5.9,1,50.0,MEDIUM
78.4,66.2,69.5,7.47,3.0,1,42.0,MEDIUM
75.2,74.3,76.8,4.17,,0,67.2,MEDIUM
76.5,36.9,62.3,10.0,2.5,1,72.7,MEDIUM
63.4,55.5,67.1,8.94,1.7,0,41.5,MEDIUM
75.4,79.3,66.9,6.4,4.6,0,83.6,MEDIUM
82.5,42.4,58.8,5.35,1.5,0,29.6,HIGH
96.8,70.3,67.3,7.52,3.2,1,53.4,MEDIUM
89.4,40.6,46.8,7.13,2.0,0,59.8,MEDIUM
100.0,73.4,62.6,7.53,5.1,0,52.3,MEDIUM
63.5,64.4,65.7,7.29,7.6,1,53.7,MEDIUM
88.1,35.9,66.2,7.76,1.4,2,100.0,HIGH
77.8,86.0,66.4,9.17,0.3,2,48.0,MEDIUM
100.0,51.8,69.1,7.85,3.8,3,100.0,MEDIUM
62.9,50.4,77.2,5.43,4.0,0,73.7,MEDIUM
62.4,68.6,83.1,9.04,4.4,1,66.8,MEDIUM
66.0,85.7,60.3,9.46,3.1,3,74.5,MEDIUM
43.1,46.7,52.0,10.0,3.6,2,100.0,HIGH
67.1,66.1,54.4,5.31,4.7,0,45.1,MEDIUM
63.6,72.7,62.7,7.36,6.1,4,42.6,HIGH
77.3,77.5,64.7,3.88,0.1,3,49.9,HIGH
80.1,68.2,58.5,7.83,3.3,4,65.6,HIGH
100.0,58.4,50.6,6.18,4.4,1,30.5,MEDIUM
89.3,50.1,63.2,9.89,2.2,0,65.4,MEDIUM
66.3,66.6,72.7,5.84,7.5,0,98.9,MEDIUM
61.5,45.7,78.9,4.47,2.7,1,68.0,HIGH
82.4,12.4,61.6,6.29,3.9,3,59.1,HIGH
55.2,72.9,63.8,4.04,5.1,1,52.6,HIGH
100.0,81.3,56.1,8.13,2.8,1,83.0,MEDIUM
,22.5,69.5,3.9,0.3,1,48.5,HIGH
68.0,46.8,57.3,7.04,3.1,3,100.0,HIGH
49.3,76.1,78.6,3.88,6.1,1,100.0,HIGH
95.3,100.0,43.2,6.52,3.3,1,70.1,MEDIUM
73.3,65.4,64.6,9.47,2.3,2,64.8,MEDIUM
93.6,51.9,74.5,7.54,5.9,0,85.6,MEDIUM
51.1,61.7,72.8,5.7,3.3,1,86.9,MEDIUM
66.0,89.7,100.0,6.95,3.0,0,48.9,LOW
75.1,53.4,75.2,7.03,4.3,0,54.5,MEDIUM
75.7,50.6,54.9,7.71,5.5,0,38.6,MEDIUM
68.2,56.3,68.6,4.95,8.8,0,73.2,MEDIUM
84.3,47.8,43.4,7.89,5.7,3,78.3,HIGH
59.0,67.2,68.8,2.94,6.3,0,38.0,HIGH
72.9,94.2,57.5,6.06,3.0,0,55.9,MEDIUM
76.8,70.8,83.7,6.27,1.9,1,38.1,MEDIUM
82.7,60.5,61.8,7.95,4.1,0,47.0,MEDIUM
85.7,59.7,68.2,7.03,4.2,0,76.0,MEDIUM
58.1,36.9,60.5,4.89,1.8,0,50.3,HIGH
52.0,80.9,96.1,5.52,3.6,4,59.0,HIGH
94.2,63.6,65.2,7.3,4.8,3,32.5,MEDIUM
80.0,61.8,97.5,6.88,4.7,1,68.7,MEDIUM
63.8,100.0,82.2,6.13,5.0,0,64.1,LOW
98.3,70.4,77.2,6.28,,1,50.4,MEDIUM
76.7,51.5,75.5,8.04,3.0,0,61.2,MEDIUM
92.7,57.3,75.9,6.22,3.0,0,68.6,MEDIUM
76.0,85.7,41.1,6.87,1.6,3,48.7,HIGH
100.0,67.0,65.8,10.0,7.6,1,35.5,MEDIUM
100.0,39.1,82.7,4.86,4.0,0,100.0,MEDIUM
,81.5,69.3,4.22,3.6,0,52.3,MEDIUM
89.6,53.0,48.9,8.18,2.1,3,63.1,HIGH
84.7,98.7,69.2,5.98,9.9,4,85.2,MEDIUM
95.5,84.4,95.6,6.52,1.9,0,100.0,LOW
60.5,56.9,88.7,5.83,3.1,0,40.1,MEDIUM
85.3,88.1,69.1,6.61,4.8,0,74.0,MEDIUM
90.9,66.2,84.3,9.4,5.2,3,50.8,MEDIUM
48.6,80.3,64.5,8.2,5.9,3,54.2,MEDIUM
57.3,73.7,44.4,8.29,7.6,0,50.6,MEDIUM
44.4,49.8,56.1,4.88,5.0,2,42.5,HIGH
